gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,영등포본동,12268,11686,29379,35977,30549,38256,37438,31899
2024,오금동,24635,32803,50864,57210,59124,72922,69202,50068
2024,오류제1동,10314,11890,43951,50151,32671,33440,33939,32438
2024,오류제2동,21650,42377,44396,48217,63498,65523,58533,58495
2024,오륜동,12041,27478,20164,17802,33085,32290,29439,22429
2024,옥수동,24799,17573,25881,50476,49041,41646,37935,32050
2024,왕십리도선동,21527,18102,43124,49001,42567,47375,36487,30059
2024,왕십리제2동,11125,11274,23916,31337,25421,28615,24933,19952
2024,용강동,20026,24098,21771,37233,46527,35517,25453,23429
2024,용답동,2929,5540,29629,24046,15104,20606,17951,17271
2024,용문동,6439,7072,17192,21154,16945,20401,17645,17185
2024,용산2가동,2657,4769,14143,17916,13363,13581,14618,15913
2024,용신동,20948,21000,77274,77916,60435,62661,55833,48760
2024,우이동,8690,13478,25064,25836,28080,38917,37807,39540
2024,우장산동,32916,59332,56644,57181,88575,79209,58622,47075
2024,원효로제1동,11832,10262,31223,46482,29026,24043,19911,14342
2024,원효로제2동,7812,10523,20431,25882,21126,24580,20582,18268
2024,월계1동,9193,16627,39128,25760,30453,36369,33967,33101
2024,월계2동,14448,20455,29726,30730,40462,47425,49390,46507
2024,월계3동,18156,20070,33932,46540,44735,49770,50911,49044
2024,월곡제1동,17301,26188,29993,34964,44316,47614,40782,37927
2024,월곡제2동,8217,14604,37873,28160,26680,32306,30017,28986
2024,위례동,68467,69167,46539,73506,103245,66404,42632,25257
2024,은천동,16410,27049,55309,55773,50865,52581,48254,47609
2024,을지로동,1473,826,4497,10387,5073,4056,4314,3515
2024,응봉동,10246,16040,17920,22467,28024,27925,20398,20056
2024,응암제1동,22979,28641,46141,56888,58697,56402,45526,42098
2024,응암제2동,28873,28837,26601,45221,60683,44145,34331,31142
2024,응암제3동,7736,13271,35376,35953,32814,42227,43076,46197
2024,이문제1동,6024,13070,56263,22346,20931,26949,23022,25632
2024,이문제2동,10748,17082,28538,25078,29558,36534,31486,32203
2024,이촌제1동,23255,28842,27769,32254,45659,48187,34373,33876
2024,이촌제2동,4440,4768,8878,14210,12239,13981,14059,13227
2024,이태원제1동,2234,2543,9013,12901,8734,10042,11042,10351
2024,이태원제2동,3607,4569,13050,18606,14400,13730,12885,14552
2024,이화동,1841,3569,17116,13547,8614,11070,10338,10668
2024,인수동,11859,20820,36888,37501,41418,54765,57393,56276
2024,인헌동,8556,13913,62689,54914,34254,38008,32891,32279
2024,일원1동,6022,10354,20664,23497,21744,22894,27511,25512
2024,일원본동,18734,35770,24092,28080,47048,39471,33166,23086
2024,자양제1동,7554,14959,43049,42049,33880,37243,33869,27598
2024,자양제2동,12849,18001,34843,41401,38171,42799,40912,30529
2024,자양제3동,20407,26240,37832,42252,45693,50017,42660,33276
2024,자양제4동,8054,9594,35019,37656,27525,34675,35150,29716
2024,잠실2동,35951,63592,36884,35319,87872,62625,32295,29036
2024,잠실3동,27482,44847,38146,38427,66233,60691,50981,45358
2024,잠실4동,23941,29380,20485,26269,48128,34858,27565,21855
2024,잠실6동,13591,18841,18918,21430,30960,27986,27448,21884
2024,잠실7동,5878,9787,11937,10414,13732,17812,16100,17748
2024,잠실본동,10042,15966,54159,69678,45300,43314,38613,27798
2024,잠원동,19088,36799,35632,36705,53201,54104,33279,25674
2024,장안제1동,22283,27573,52306,65570,66232,63707,61967,51064
2024,장안제2동,26851,31335,40717,52025,63018,55458,49594,40649
2024,장위제1동,15488,18922,32283,34321,37878,45119,40213,31244
2024,장위제2동,4991,8105,18786,19712,17593,24383,24349,24747
2024,장위제3동,15788,13986,21058,24415,28636,28253,21942,16254
2024,장지동,21466,25768,37843,49630,47901,51327,47299,34327
2024,장충동,1463,3117,13469,7356,5580,6338,5929,6856
2024,전농제1동,21445,23653,54999,51525,52737,59479,52658,45035
2024,전농제2동,10361,16668,21575,23031,28578,34458,31475,29490
2024,정릉제1동,12917,17769,24095,25324,31212,32160,25739,25581
2024,정릉제2동,13034,17245,32578,32621,33854,42190,38638,35672
2024,정릉제3동,4538,10168,37821,19417,16522,24593,24315,26023
2024,정릉제4동,12753,21083,33883,31470,38287,46851,40442,39066
2024,제기동,8108,12921,47631,32871,27983,38123,40870,43406
2024,조원동,7411,8800,47507,49467,26308,26703,26718,23191
2024,종로1.2.3.4가동,1698,2359,10634,10770,9240,11894,14554,12526
2024,종로5.6가동,1573,2102,12475,10033,6263,9155,8784,8208
2024,종암동,21867,36810,58581,49648,61834,69674,57252,54898
2024,중계1동,18198,57302,29912,20154,62204,54490,27802,18819
2024,중계2.3동,15949,28348,39153,42287,50775,60944,55024,60730
2024,중계4동,9326,21042,24555,19848,30723,39890,30599,33311
2024,중계본동,12172,45294,31541,18242,45694,50924,28526,18794
2024,중곡제1동,5673,7122,30266,33809,21301,25328,23889,19436
2024,중곡제2동,8612,13401,35725,39752,30369,36251,33626,25909
2024,중곡제3동,6124,8606,25042,29856,21867,28890,28032,22352
