period,deal_ym,percentile,percentile_label,threshold_price_manwon,count_above_threshold,total_count,ratio
전체,,93,상위 93%,64472.10166949861,39947,42954,92.99948782418402
전체,,94,상위 94%,63023.83206423258,40376,42954,93.99823066536295
전체,,95,상위 95%,61328.297375273265,40806,42954,94.99930157843274
전체,,96,상위 96%,59336.03351689699,41235,42954,95.99804441961167
전체,,97,상위 97%,57321.49085195327,41665,42954,96.99911533268147
전체,,98,상위 98%,54372.13134047311,42098,42954,98.00717046142385
전체,,99,상위 99%,50066.15904048473,42524,42954,98.9989290869302
전체,,100,상위 100%,28526.64576802508,42954,42954,100.0
월별,202401.0,1,상위 1%,329919.92708858685,21,2057,1.0209042294603792
월별,202401.0,2,상위 2%,298203.3443928334,42,2057,2.0418084589207584
월별,202401.0,3,상위 3%,272723.7719702661,62,2057,3.0140982012639768
월별,202401.0,4,상위 4%,263642.0658268666,83,2057,4.035002430724355
월별,202401.0,5,상위 5%,245047.73019720492,103,2057,5.007292173067574
월별,202401.0,6,상위 6%,233272.32524634615,124,2057,6.0281964025279535
월별,202401.0,7,상위 7%,226186.25938253631,144,2057,7.000486144871172
월별,202401.0,8,상위 8%,218354.718302244,165,2057,8.02139037433155
월별,202401.0,9,상위 9%,207598.86806022938,186,2057,9.04229460379193
월별,202401.0,10,상위 10%,201583.6972712612,206,2057,10.014584346135148
월별,202401.0,11,상위 11%,196144.1758778203,227,2057,11.035488575595528
월별,202401.0,12,상위 12%,190576.58448183694,247,2057,12.007778317938746
월별,202401.0,13,상위 13%,186138.36428435965,268,2057,13.028682547399125
월별,202401.0,14,상위 14%,180271.7076395985,288,2057,14.000972289742345
월별,202401.0,15,상위 15%,174566.7877128113,309,2057,15.021876519202722
월별,202401.0,16,상위 16%,170251.3491577163,329,2057,15.994166261545942
월별,202401.0,17,상위 17%,166691.9223940851,350,2057,17.01507049100632
월별,202401.0,18,상위 18%,163545.5600339113,371,2057,18.0359747204667
월별,202401.0,19,상위 19%,161158.51172522354,391,2057,19.00826446280992
월별,202401.0,20,상위 20%,159565.98753570658,412,2057,20.029168692270297
월별,202401.0,21,상위 21%,156975.82008648608,432,2057,21.001458434613514
월별,202401.0,22,상위 22%,154363.2874677127,453,2057,22.022362664073896
월별,202401.0,23,상위 23%,151124.62416543008,473,2057,22.994652406417114
월별,202401.0,24,상위 24%,149026.4745079889,494,2057,24.01555663587749
월별,202401.0,25,상위 25%,147122.60216847374,515,2057,25.036460865337872
월별,202401.0,26,상위 26%,144641.74508167553,535,2057,26.00875060768109
월별,202401.0,27,상위 27%,142342.4596775191,556,2057,27.02965483714147
월별,202401.0,28,상위 28%,139832.16708449303,576,2057,28.00194457948469
월별,202401.0,29,상위 29%,137727.7048539552,597,2057,29.022848808945067
월별,202401.0,30,상위 30%,136308.8485785028,617,2057,29.995138551288285
월별,202401.0,31,상위 31%,133722.19474231152,638,2057,31.016042780748666
월별,202401.0,32,상위 32%,132257.22733862922,658,2057,31.988332523091884
월별,202401.0,33,상위 33%,130243.45312404298,679,2057,33.00923675255226
월별,202401.0,34,상위 34%,128132.63556624477,700,2057,34.03014098201264
월별,202401.0,35,상위 35%,126361.8625471926,720,2057,35.00243072435586
월별,202401.0,36,상위 36%,124610.48997167351,741,2057,36.02333495381624
월별,202401.0,37,상위 37%,123222.30974332865,761,2057,36.99562469615946
월별,202401.0,38,상위 38%,121804.19247154899,782,2057,38.01652892561984
월별,202401.0,39,상위 39%,119986.65707795543,802,2057,38.98881866796305
월별,202401.0,40,상위 40%,118986.65802409119,823,2057,40.00972289742343
월별,202401.0,41,상위 41%,117782.17593770336,843,2057,40.98201263976665
월별,202401.0,42,상위 42%,116269.85539502873,864,2057,42.00291686922703
월별,202401.0,43,상위 43%,114164.11796254896,885,2057,43.02382109868741
월별,202401.0,44,상위 44%,113424.9543096644,905,2057,43.99611084103063
월별,202401.0,45,상위 45%,111569.22907941301,926,2057,45.017015070491006
월별,202401.0,46,상위 46%,110311.5305664039,946,2057,45.98930481283423
월별,202401.0,47,상위 47%,108805.97739204952,967,2057,47.010209042294605
월별,202401.0,48,상위 48%,107747.49239754655,987,2057,47.98249878463782
월별,202401.0,49,상위 49%,105812.65045084624,1008,2057,49.003403014098204
월별,202401.0,50,상위 50%,104095.36173728312,1029,2057,50.02430724355859
월별,202401.0,51,상위 51%,103119.31172061057,1049,2057,50.996596985901796
월별,202401.0,52,상위 52%,101516.91948658109,1071,2057,52.066115702479344
월별,202401.0,53,상위 53%,100641.44721226903,1090,2057,52.989790957705395
월별,202401.0,54,상위 54%,99114.10615946948,1111,2057,54.01069518716578
월별,202401.0,55,상위 55%,98016.33605600931,1132,2057,55.03159941662615
월별,202401.0,56,상위 56%,96636.7244298929,1152,2057,56.00388915896938
월별,202401.0,57,상위 57%,95760.84177113777,1172,2057,56.97617890131259
월별,202401.0,58,상위 58%,94470.70859806739,1193,2057,57.99708313077298
월별,202401.0,59,상위 59%,93845.67196083457,1214,2057,59.01798736023335
월별,202401.0,60,상위 60%,92706.10302271483,1234,2057,59.99027710257657
월별,202401.0,61,상위 61%,91728.44980096217,1255,2057,61.01118133203695
월별,202401.0,62,상위 62%,90697.714494341,1275,2057,61.98347107438017
월별,202401.0,63,상위 63%,89681.43655383485,1296,2057,63.00437530384054
월별,202401.0,64,상위 64%,88708.91270063525,1316,2057,63.97666504618377
월별,202401.0,65,상위 65%,87740.01087615265,1337,2057,64.99756927564414
월별,202401.0,66,상위 66%,86872.59654454052,1357,2057,65.96985901798736
월별,202401.0,67,상위 67%,86060.18983689697,1378,2057,66.99076324744773
월별,202401.0,68,상위 68%,84846.02336503608,1399,2057,68.01166747690812
월별,202401.0,69,상위 69%,84058.56093203992,1419,2057,68.98395721925134
월별,202401.0,70,상위 70%,83597.30190620731,1440,2057,70.00486144871172
월별,202401.0,71,상위 71%,82762.62679472924,1460,2057,70.97715119105493
월별,202401.0,72,상위 72%,82070.4467201979,1481,2057,71.99805542051531
월별,202401.0,73,상위 73%,81256.31140376344,1501,2057,72.97034516285854
월별,202401.0,74,상위 74%,80606.89979983516,1522,2057,73.99124939231892
월별,202401.0,75,상위 75%,79793.77074652165,1543,2057,75.01215362177929
월별,202401.0,76,상위 76%,79007.93146528644,1563,2057,75.98444336412251
월별,202401.0,77,상위 77%,78161.72797676061,1584,2057,77.00534759358288
월별,202401.0,78,상위 78%,77119.52908762792,1604,2057,77.9776373359261
월별,202401.0,79,상위 79%,76363.01462849924,1625,2057,78.99854156538649
월별,202401.0,80,상위 80%,75400.96692277314,1645,2057,79.97083130772971
월별,202401.0,81,상위 81%,74187.47056052755,1667,2057,81.04035002430724
월별,202401.0,82,상위 82%,73147.31141662752,1686,2057,81.9640252795333
월별,202401.0,83,상위 83%,72153.67328374981,1707,2057,82.98492950899367
월별,202401.0,84,상위 84%,71056.8598458369,1728,2057,84.00583373845406
월별,202401.0,85,상위 85%,69801.52082385242,1748,2057,84.97812348079728
월별,202401.0,86,상위 86%,69163.9404065432,1769,2057,85.99902771025766
월별,202401.0,87,상위 87%,67618.63699408792,1789,2057,86.97131745260087
월별,202401.0,88,상위 88%,66625.3762293297,1810,2057,87.99222168206126
월별,202401.0,89,상위 89%,65542.90380626686,1830,2057,88.96451142440446
월별,202401.0,90,상위 90%,64751.59322218146,1851,2057,89.98541565386485
월별,202401.0,91,상위 91%,63422.52519651651,1871,2057,90.95770539620807
월별,202401.0,92,상위 92%,62306.10129564193,1892,2057,91.97860962566845
월별,202401.0,93,상위 93%,61230.058480573556,1913,2057,92.99951385512882
월별,202401.0,94,상위 94%,59433.89055329236,1933,2057,93.97180359747205
월별,202401.0,95,상위 95%,57997.92427754568,1954,2057,94.99270782693242
월별,202401.0,96,상위 96%,56107.28708889847,1974,2057,95.96499756927564
월별,202401.0,97,상위 97%,54888.4655758341,1995,2057,96.98590179873602
월별,202401.0,98,상위 98%,52366.44904791043,2015,2057,97.95819154107924
월별,202401.0,99,상위 99%,49440.390232936996,2036,2057,98.97909577053962
월별,202401.0,100,상위 100%,37157.78474399164,2057,2057,100.0
월별,202402.0,1,상위 1%,321507.1973017256,21,2066,1.016456921587609
월별,202402.0,2,상위 2%,289234.7514535084,42,2066,2.032913843175218
월별,202402.0,3,상위 3%,270692.9955574745,62,2066,3.0009680542110355
월별,202402.0,4,상위 4%,259003.52709656488,83,2066,4.017424975798645
월별,202402.0,5,상위 5%,250602.09011282024,104,2066,5.033881897386254
월별,202402.0,6,상위 6%,238207.81152889153,124,2066,6.001936108422071
월별,202402.0,7,상위 7%,228400.402361797,145,2066,7.01839303000968
월별,202402.0,8,상위 8%,219698.87689789003,166,2066,8.03484995159729
월별,202402.0,9,상위 9%,210005.03579558193,186,2066,9.002904162633108
월별,202402.0,10,상위 10%,201614.29239976764,207,2066,10.019361084220717
월별,202402.0,11,상위 11%,197878.71043483992,228,2066,11.035818005808325
월별,202402.0,12,상위 12%,192199.77068678488,248,2066,12.003872216844142
월별,202402.0,13,상위 13%,183571.14842058453,269,2066,13.020329138431752
월별,202402.0,14,상위 14%,178547.9470821906,290,2066,14.03678606001936
월별,202402.0,15,상위 15%,175017.44591765528,311,2066,15.05324298160697
월별,202402.0,16,상위 16%,171000.62937814367,331,2066,16.021297192642788
월별,202402.0,17,상위 17%,168037.4626653674,352,2066,17.037754114230395
월별,202402.0,18,상위 18%,164845.20385721535,373,2066,18.054211035818003
월별,202402.0,19,상위 19%,162338.4415401428,393,2066,19.022265246853824
월별,202402.0,20,상위 20%,159626.60443407233,414,2066,20.038722168441435
월별,202402.0,21,상위 21%,157263.75528440668,434,2066,21.00677637947725
월별,202402.0,22,상위 22%,153905.4033417546,455,2066,22.02323330106486
월별,202402.0,23,상위 23%,150002.0202020202,475,2066,22.991287512100676
월별,202402.0,24,상위 24%,147759.64995421082,496,2066,24.007744433688284
월별,202402.0,25,상위 25%,146632.7887589975,517,2066,25.024201355275892
월별,202402.0,26,상위 26%,144224.03733955658,538,2066,26.040658276863503
월별,202402.0,27,상위 27%,141210.47221718365,558,2066,27.008712487899324
월별,202402.0,28,상위 28%,138777.40172125364,579,2066,28.02516940948693
월별,202402.0,29,상위 29%,136454.93529846525,599,2066,28.993223620522752
월별,202402.0,30,상위 30%,134552.55733781517,620,2066,30.009680542110356
월별,202402.0,31,상위 31%,132441.03639358992,641,2066,31.026137463697967
월별,202402.0,32,상위 32%,130419.9657657277,661,2066,31.994191674733784
월별,202402.0,33,상위 33%,128841.51122386723,682,2066,33.010648596321396
월별,202402.0,34,상위 34%,127546.06103520944,703,2066,34.027105517909
월별,202402.0,35,상위 35%,126180.23237387727,723,2066,34.99515972894482
월별,202402.0,36,상위 36%,124753.5765883483,744,2066,36.01161665053243
월별,202402.0,37,상위 37%,123541.506310851,765,2066,37.02807357212004
월별,202402.0,38,상위 38%,122133.90425298394,785,2066,37.996127783155856
월별,202402.0,39,상위 39%,120825.51594746715,807,2066,39.06098741529526
월별,202402.0,40,상위 40%,119537.92064289303,827,2066,40.02904162633107
월별,202402.0,41,상위 41%,118430.90705923922,847,2066,40.99709583736689
월별,202402.0,42,상위 42%,117330.80444857308,868,2066,42.0135527589545
월별,202402.0,43,상위 43%,115842.33814227364,888,2066,42.981606969990324
월별,202402.0,44,상위 44%,114562.86122248365,909,2066,43.99806389157793
월별,202402.0,45,상위 45%,112991.60654177787,930,2066,45.01452081316554
월별,202402.0,46,상위 46%,111793.03465725224,950,2066,45.98257502420135
월별,202402.0,47,상위 47%,110402.66612199727,971,2066,46.999031945788964
월별,202402.0,48,상위 48%,108714.25295780427,992,2066,48.01548886737657
월별,202402.0,49,상위 49%,106939.51167104892,1012,2066,48.98354307841239
월별,202402.0,50,상위 50%,105822.43190527352,1033,2066,50.0
월별,202402.0,51,상위 51%,104710.03053291724,1054,2066,51.016456921587604
월별,202402.0,52,상위 52%,103476.50257983542,1074,2066,51.984511132623425
월별,202402.0,53,상위 53%,102203.8578724854,1095,2066,53.00096805421104
월별,202402.0,54,상위 54%,100709.21985815604,1119,2066,54.16263310745401
월별,202402.0,55,상위 55%,99421.08431499479,1136,2066,54.98547918683446
월별,202402.0,56,상위 56%,98085.97875028204,1157,2066,56.001936108422065
월별,202402.0,57,상위 57%,97189.22933558,1178,2066,57.01839303000968
월별,202402.0,58,상위 58%,96192.08601987988,1198,2066,57.986447241045504
월별,202402.0,59,상위 59%,94852.95595842686,1219,2066,59.00290416263311
월별,202402.0,60,상위 60%,93878.23185988324,1240,2066,60.01936108422071
월별,202402.0,61,상위 61%,92648.654857206,1260,2066,60.98741529525653
월별,202402.0,62,상위 62%,91554.8398414123,1281,2066,62.003872216844144
월별,202402.0,63,상위 63%,90767.19771939909,1301,2066,62.971926427879964
월별,202402.0,64,상위 64%,89666.43694809485,1322,2066,63.98838334946757
월별,202402.0,65,상위 65%,88833.88822800975,1343,2066,65.00484027105517
월별,202402.0,66,상위 66%,87918.15957539003,1363,2066,65.972894482091
월별,202402.0,67,상위 67%,87040.47593185812,1384,2066,66.98935140367861
월별,202402.0,68,상위 68%,85999.66383081376,1405,2066,68.00580832526622
월별,202402.0,69,상위 69%,84821.76836701321,1425,2066,68.97386253630204
월별,202402.0,70,상위 70%,84213.03309947724,1446,2066,69.99031945788964
월별,202402.0,71,상위 71%,83750.36026884885,1467,2066,71.00677637947726
월별,202402.0,72,상위 72%,82906.75536472951,1487,2066,71.97483059051308
월별,202402.0,73,상위 73%,81920.47905516264,1508,2066,72.99128751210068
월별,202402.0,74,상위 74%,80589.346512905,1529,2066,74.00774443368829
월별,202402.0,75,상위 75%,79901.37984178634,1549,2066,74.97579864472411
월별,202402.0,76,상위 76%,79032.25806451614,1571,2066,76.04065827686351
월별,202402.0,77,상위 77%,78189.73250564058,1591,2066,77.00871248789932
월별,202402.0,78,상위 78%,77074.21393879989,1611,2066,77.97676669893514
월별,202402.0,79,상위 79%,76161.77898580708,1632,2066,78.99322362052274
월별,202402.0,80,상위 80%,75254.4141950074,1653,2066,80.00968054211036
월별,202402.0,81,상위 81%,74382.33597795863,1673,2066,80.97773475314618
월별,202402.0,82,상위 82%,73413.94089781189,1694,2066,81.99419167473378
월별,202402.0,83,상위 83%,72406.05309271914,1714,2066,82.9622458857696
월별,202402.0,84,상위 84%,71256.17537133617,1735,2066,83.97870280735721
월별,202402.0,85,상위 85%,69994.49058023597,1756,2066,84.99515972894483
월별,202402.0,86,상위 86%,69162.2788167003,1776,2066,85.96321393998065
월별,202402.0,87,상위 87%,67708.17753736408,1797,2066,86.97967086156825
월별,202402.0,88,상위 88%,66939.34533901542,1818,2066,87.99612778315586
월별,202402.0,89,상위 89%,65989.13625633132,1838,2066,88.96418199419168
월별,202402.0,90,상위 90%,64788.34409966184,1859,2066,89.98063891577928
월별,202402.0,91,상위 91%,63426.66549990239,1880,2066,90.9970958373669
월별,202402.0,92,상위 92%,62372.70923216828,1900,2066,91.9651500484027
월별,202402.0,93,상위 93%,60671.50414772481,1921,2066,92.98160696999031
월별,202402.0,94,상위 94%,59427.28495901116,1942,2066,93.99806389157793
월별,202402.0,95,상위 95%,58853.268997972926,1962,2066,94.96611810261375
월별,202402.0,96,상위 96%,57303.72557199243,1983,2066,95.98257502420135
월별,202402.0,97,상위 97%,54973.99199862485,2004,2066,96.99903194578896
월별,202402.0,98,상위 98%,51073.95786264185,2024,2066,97.96708615682478
월별,202402.0,99,상위 99%,48065.39509536784,2047,2066,99.08034849951596
월별,202402.0,100,상위 100%,37906.13718411552,2066,2066,100.0
월별,202403.0,1,상위 1%,336112.0373457819,36,3451,1.0431758910460736
월별,202403.0,2,상위 2%,294608.49506278906,70,3451,2.028397565922921
월별,202403.0,3,상위 3%,276270.7672883704,104,3451,3.0136192407997684
월별,202403.0,4,상위 4%,264475.6648268941,139,3451,4.027818023761228
월별,202403.0,5,상위 5%,249724.53926296206,173,3451,5.013039698638076
월별,202403.0,6,상위 6%,236299.4350282486,208,3451,6.027238481599537
월별,202403.0,7,상위 7%,228743.43452501914,242,3451,7.012460156476384
월별,202403.0,8,상위 8%,219836.63943990663,277,3451,8.026658939437844
월별,202403.0,9,상위 9%,213674.71845835465,311,3451,9.011880614314691
월별,202403.0,10,상위 10%,205648.39572192516,346,3451,10.026079397276153
월별,202403.0,11,상위 11%,201522.14206392952,380,3451,11.011301072152998
월별,202403.0,12,상위 12%,197597.5975975976,415,3451,12.02549985511446
월별,202403.0,13,상위 13%,191286.2709546446,449,3451,13.010721529991306
월별,202403.0,14,상위 14%,186386.3863863864,484,3451,14.024920312952768
월별,202403.0,15,상위 15%,179563.8189913085,518,3451,15.010141987829615
월별,202403.0,16,상위 16%,175348.33152128462,553,3451,16.024340770791078
월별,202403.0,17,상위 17%,172340.89367598807,587,3451,17.00956244566792
월별,202403.0,18,상위 18%,169207.20932972082,622,3451,18.023761228629382
월별,202403.0,19,상위 19%,166532.71376965148,656,3451,19.00898290350623
월별,202403.0,20,상위 20%,163532.76353276355,691,3451,20.02318168646769
월별,202403.0,21,상위 21%,160139.83374178602,725,3451,21.008403361344538
월별,202403.0,22,상위 22%,157326.27399073463,760,3451,22.022602144305996
월별,202403.0,23,상위 23%,154144.35522338632,794,3451,23.007823819182846
월별,202403.0,24,상위 24%,152529.18287937742,829,3451,24.022022602144304
월별,202403.0,25,상위 25%,150547.4934741016,863,3451,25.00724427702115
월별,202403.0,26,상위 26%,148444.86333647504,898,3451,26.021443059982612
월별,202403.0,27,상위 27%,147206.29613186256,932,3451,27.00666473485946
월별,202403.0,28,상위 28%,145648.5495165055,967,3451,28.02086351782092
월별,202403.0,29,상위 29%,143891.52894031105,1001,3451,29.006085192697768
월별,202403.0,30,상위 30%,141917.52591115603,1036,3451,30.02028397565923
월별,202403.0,31,상위 31%,139910.2921381088,1070,3451,31.005505650536076
월별,202403.0,32,상위 32%,138385.5024711697,1105,3451,32.01970443349754
월별,202403.0,33,상위 33%,136015.1451462012,1139,3451,33.004926108374384
월별,202403.0,34,상위 34%,134030.26134800547,1174,3451,34.01912489133584
월별,202403.0,35,상위 35%,132500.6915838039,1208,3451,35.00434656621269
월별,202403.0,36,상위 36%,131033.67082646576,1243,3451,36.018545349174154
월별,202403.0,37,상위 37%,129222.6957976638,1277,3451,37.003767024051
월별,202403.0,38,상위 38%,127612.68781302172,1312,3451,38.01796580701246
월별,202403.0,39,상위 39%,126187.17768199905,1346,3451,39.003187481889306
월별,202403.0,40,상위 40%,124849.6993987976,1381,3451,40.01738626485077
월별,202403.0,41,상위 41%,123616.67230438086,1415,3451,41.00260793972762
월별,202403.0,42,상위 42%,121921.92192192192,1450,3451,42.016806722689076
월별,202403.0,43,상위 43%,120063.03369770359,1484,3451,43.00202839756592
월별,202403.0,44,상위 44%,118616.1449752883,1519,3451,44.01622718052739
월별,202403.0,45,상위 45%,117186.30857147143,1553,3451,45.00144885540423
월별,202403.0,46,상위 46%,115746.08408903546,1589,3451,46.0446247464503
월별,202403.0,47,상위 47%,114448.3028188163,1622,3451,47.00086931324254
월별,202403.0,48,상위 48%,113335.65459610028,1657,3451,48.015068096204
월별,202403.0,49,상위 49%,111704.09022926145,1691,3451,49.000289771080844
월별,202403.0,50,상위 50%,110129.3103448276,1726,3451,50.0144885540423
월별,202403.0,51,상위 51%,108744.26268094622,1763,3451,51.086641553172996
월별,202403.0,52,상위 52%,107171.44763175448,1795,3451,52.013909011880614
월별,202403.0,53,상위 53%,105692.01924757106,1829,3451,52.999130686757454
월별,202403.0,54,상위 54%,104234.97267759564,1864,3451,54.01332946971892
월별,202403.0,55,상위 55%,102935.95941979047,1898,3451,54.998551144595766
월별,202403.0,56,상위 56%,101985.81560283688,1934,3451,56.04172703564184
월별,202403.0,57,상위 57%,100821.44487849425,1967,3451,56.99797160243407
월별,202403.0,58,상위 58%,99882.2698375324,2001,3451,57.98319327731093
월별,202403.0,59,상위 59%,98649.81515410799,2036,3451,58.99739206027238
월별,202403.0,60,상위 60%,96949.7114591921,2071,3451,60.01159084323384
월별,202403.0,61,상위 61%,95661.60520607374,2106,3451,61.025789626195305
월별,202403.0,62,상위 62%,94853.20337572804,2140,3451,62.01101130107215
월별,202403.0,63,상위 63%,93888.91808493709,2174,3451,62.996232975949
월별,202403.0,64,상위 64%,92702.45536424124,2209,3451,64.01043175891046
월별,202403.0,65,상위 65%,91880.1597519267,2243,3451,64.99565343378731
월별,202403.0,66,상위 66%,90670.67067067068,2278,3451,66.00985221674877
월별,202403.0,67,상위 67%,89402.32383614105,2312,3451,66.99507389162561
월별,202403.0,68,상위 68%,88329.59834511291,2347,3451,68.00927267458707
월별,202403.0,69,상위 69%,87122.56241518413,2381,3451,68.99449434946392
월별,202403.0,70,상위 70%,86413.62185172048,2416,3451,70.00869313242538
월별,202403.0,71,상위 71%,85442.72136068034,2451,3451,71.02289191538685
월별,202403.0,72,상위 72%,84257.72952560775,2485,3451,72.00811359026369
월별,202403.0,73,상위 73%,83765.85283267271,2519,3451,72.99333526514053
월별,202403.0,74,상위 74%,82683.01308499351,2554,3451,74.007534048102
월별,202403.0,75,상위 75%,81827.50989823983,2588,3451,74.99275572297884
월별,202403.0,76,상위 76%,80606.06060606061,2623,3451,76.0069545059403
월별,202403.0,77,상위 77%,79684.27196933584,2657,3451,76.99217618081715
월별,202403.0,78,상위 78%,78918.25445605408,2692,3451,78.00637496377861
월별,202403.0,79,상위 79%,78191.49077961518,2726,3451,78.99159663865547
