sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명
서울특별시,동대문구,휘경동,57,주공2,39.98,202410,9,46500,13,2001,2024-10-09,휘경동주공2
서울특별시,동작구,사당동,105,극동(105),84.32,202410,9,100500,13,1993,2024-10-09,극동(105)
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202410,3,149000,14,1992,2024-10-03,삼익대청아파트
서울특별시,동작구,사당동,105,극동(105),59.25,202410,1,100000,3,1993,2024-10-01,극동(105)
서울특별시,동작구,사당동,105,사당우성2,59.89,202409,28,109000,10,1993,2024-09-28,사당우성2
서울특별시,동작구,사당동,105,사당우성3,59.89,202409,28,99500,13,1993,2024-09-28,사당우성3
서울특별시,동작구,사당동,105,사당우성2,84.66,202409,27,122700,4,1993,2024-09-27,사당우성2
서울특별시,강남구,개포동,185,개포주공7단지,60.76,202409,27,249000,5,1983,2024-09-27,개포주공7단지
서울특별시,강남구,개포동,185,개포주공6단지,53.06,202409,27,232000,7,1983,2024-09-27,개포주공6단지
서울특별시,동대문구,휘경동,57,주공2,39.97,202409,26,41900,14,2001,2024-09-26,휘경동주공2
서울특별시,동작구,사당동,105,신동아4,59.89,202409,25,103000,9,1993,2024-09-25,사당동신동아4
서울특별시,동대문구,휘경동,57,주공2,39.98,202409,24,44500,3,2001,2024-09-24,휘경동주공2
서울특별시,동대문구,휘경동,57,주공1,84.86,202409,24,77000,18,2001,2024-09-24,휘경동주공1
서울특별시,강남구,개포동,185,개포주공7단지,60.76,202409,24,250000,7,1983,2024-09-24,개포주공7단지
서울특별시,강남구,개포동,12,성원대치2단지아파트,33.18,202409,23,104000,10,1992,2024-09-23,성원대치2단지아파트
서울특별시,동작구,사당동,105,사당우성2,108.08,202409,23,137500,14,1993,2024-09-23,사당우성2
서울특별시,노원구,하계동,284,한신2,35.28,202409,23,38200,14,1988,2024-09-23,하계동한신2
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202409,22,153000,13,1992,2024-09-22,성원대치2단지아파트
서울특별시,동대문구,휘경동,57,주공2,59.79,202409,21,63000,5,2001,2024-09-21,휘경동주공2
서울특별시,동대문구,휘경동,57,주공1,114.73,202409,21,87800,1,2001,2024-09-21,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,59.97,202409,19,55000,2,2001,2024-09-19,휘경동주공2
서울특별시,동작구,사당동,105,사당우성3,84.66,202409,19,123000,9,1993,2024-09-19,사당우성3
서울특별시,동대문구,휘경동,57,주공2,59.79,202409,14,64500,21,2001,2024-09-14,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.97,202409,14,39900,6,2001,2024-09-14,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.98,202409,14,32000,17,2001,2024-09-14,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.98,202409,14,45000,11,2001,2024-09-14,휘경동주공2
서울특별시,동작구,사당동,105,사당우성2,84.66,202409,14,127000,9,1993,2024-09-14,사당우성2
서울특별시,동작구,사당동,105,사당우성2,59.89,202409,13,108000,14,1993,2024-09-13,사당우성2
서울특별시,노원구,하계동,284,한신1,44.52,202409,11,44500,1,1988,2024-09-11,하계동한신1
서울특별시,광진구,광장동,218-1,극동2,75.55,202409,9,169500,10,1989,2024-09-09,극동2
서울특별시,노원구,하계동,284,한신1,44.52,202409,9,45000,2,1988,2024-09-09,하계동한신1
서울특별시,강남구,개포동,185,개포주공7단지,83.7,202409,7,284000,1,1983,2024-09-07,개포주공7단지
서울특별시,동작구,사당동,105,사당우성2,84.66,202409,7,124000,11,1993,2024-09-07,사당우성2
서울특별시,동대문구,휘경동,57,주공2,59.13,202409,7,67500,9,2001,2024-09-07,휘경동주공2
서울특별시,동대문구,휘경동,57,주공2,39.97,202409,6,39900,4,2001,2024-09-06,휘경동주공2
서울특별시,동대문구,휘경동,57,주공1,114.96,202409,6,87500,8,2001,2024-09-06,휘경동주공1
서울특별시,동작구,사당동,105,사당우성2,46.75,202409,5,85000,11,1993,2024-09-05,사당우성2
서울특별시,동대문구,휘경동,57,주공2,39.98,202409,2,43700,14,2001,2024-09-02,휘경동주공2
서울특별시,강남구,개포동,12,성원대치2단지아파트,33.18,202408,31,105000,9,1992,2024-08-31,성원대치2단지아파트
