complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
장위자이레디언트,1,성북구,장위동,서울특별시 성북구 돌곶이로30길 23,돌곶이로30길,23,서울성북구돌곶이로30길23
용산파크자이,1,용산구,한강로1가,서울특별시 용산구 한강대로 205,한강대로,205,한강로1가50-1
"잠원한신4지구(8차~11차,17차)",1,서초구,잠원동,서울특별시 서초구 나루터로4길 39,나루터로4길,39,nan
잠원녹원한신,1,서초구,잠원동,서울특별시 서초구 잠원로4길 34-11,잠원로4길,1934-11-01 00:00:00,nan
일원청솔빌리지,1,강남구,일원동,서울특별시 강남구 광평로10길 50,광평로10길,50,일원동739
일원대우,1,강남구,일원동,,개포로110길,,nan
인현신성,1,중구,인현동2가,서울특별시 중구 마른내로 72,마른내로,72,인현동2가192-30
인왕산어울림 아파트,1,서대문구,홍제동,,,,nan
이편한세상보문,1,성북구,보문동3가,서울특별시 성북구 낙산길 255,낙산길,255,보문동3가230
이수자이 주상복합,1,동작구,사당동,,,,nan
이수스위첸포레힐즈아파트,1,동작구,동작동,서울특별시 동작구 동작대로45길 10,동작대로45길,10,동작동102
이문휘경지웰에스테이트,1,동대문구,휘경동,서울특별시 동대문구 외대역동로 63-12,외대역동로,1963-12-01 00:00:00,서울동대문구외대역동로63-12
은평지웰테라스,1,은평구,진관동,서울특별시 은평구 진관4로 78-38,진관4로,78-38,진관동9
은평뉴타운상림마을6단지 제1아파트(8단지 푸르지오),1,은평구,진관동,서울특별시 은평구 진관4로 78-7,진관4로,1978-07-01 00:00:00,서울은평구진관4로78-7
은평뉴타운상림마을11단지,1,은평구,진관동,서울특별시 은평구 진관4로 48-8,진관4로,1948-08-01 00:00:00,서울은평구진관4로48-8
위례중앙푸르지오아파트,1,송파구,장지동,,,,nan
위례2차아이파크아파트,1,송파구,장지동,서울특별시 송파구 위례광장로 193,위례광장로,193,장지동880
원효산호,1,용산구,원효로4가,서울특별시 용산구 원효로 66,원효로,66,원효로4가118-16
원효로강변삼성스위트,1,용산구,원효로4가,서울특별시 용산구 원효로 40,원효로,40,원효로4가178
원에디션강남,1,강남구,역삼동,서울특별시 강남구 언주로 563,언주로,563,역삼동653-4
우장산롯데2차,1,강서구,내발산동,서울특별시 강서구 우장산로 47,우장산로,47,내발산동729
우림 루미아트,1,마포구,망원동,,,,nan
용산푸르지오써밋,1,용산구,한강로2가,서울특별시 용산구 한강대로 69,한강대로,69,한강로2가420
상도 푸르지오 클라베뉴,1,동작구,상도동,서울특별시 동작구 성대로 164,성대로,164,상도동906
상계주공8단지,1,노원구,상계동,서울특별시 노원구 노원로38길 10,노원로38길,10,상계동677
DMC SKVIEW 아이파크포레,1,은평구,수색동,서울특별시 은평구 수색로 322,수색로,322,수색동341-6
뉴신사신성아파트,1,은평구,신사동,서울특별시 은평구 은평터널로 163,은평터널로,163,신사동356
당산동부센트레빌,1,영등포구,당산동3가,서울특별시 영등포구 영신로 191,영신로,191,당산동3가561
당산동대우,1,영등포구,당산동2가,서울특별시 영등포구 영등포로 106,영등포로,106,당산동2가16-1
당산동1차효성아파트,1,영등포구,당산동5가,서울특별시 영등포구 당산로42길 13,당산로42길,13,당산동5가12
당산금호어울림,1,영등포구,당산동4가,서울특별시 영등포구 국회대로37길 22,국회대로37길,22,당산동4가95
당산2차효성타운,1,영등포구,당산동5가,서울특별시 영등포구 당산로42길 7,당산로42길,7,당산동5가13
당산2차삼성,1,영등포구,당산동4가,서울특별시 영등포구 당산로36길 12,당산로36길,12,당산동4가94-1
당산2가현대,1,영등포구,당산동2가,서울특별시 영등포구 당산로 95,당산로,95,당산동2가164
답십리한화,1,동대문구,답십리1동,,고미술로,57,답십리동994
답십리래미안임대,1,동대문구,답십리동,서울특별시 동대문구 한천로33길 11,한천로33길,11,답십리동1000-1
답십리동아,1,동대문구,답십리동,서울특별시 동대문구 한천로11길 10-1,한천로11길,2025-10-01 00:00:00,서울동대문구한천로11길10-1
남해오네뜨아파트,1,동작구,사당동,서울특별시 동작구 사당로2가길 173,사당로2가길,173,사당동1143
금호어울림(삼성동),1,강남구,삼성동,,봉은사로111길,25-0,삼성동102-2
남산센트럴자이,1,중구,충무로4가,서울특별시 중구 퇴계로 235,퇴계로,235,충무로4가306
남산롯데캐슬아이리스,1,중구,회현동1가,서울특별시 중구 소공로 35,소공로,35,회현동1가208
남산SK리더스뷰,1,중구,회현동1가,서울특별시 중구 퇴계로 72,퇴계로,72,회현동1가206
길음현대,1,성북구,길음동,,,,nan
길음역 롯데캐슬 트윈골드,1,성북구,길음동,서울특별시 성북구 길음로 11,길음로,11,길음동542-1
길음삼부,1,성북구,길음동,서울특별시 성북구 동소문로 248,동소문로,248,길음동877-66
길동신동아3차,1,강동구,길동,,,,nan
길동삼익파크,1,강동구,길동,서울특별시 강동구 명일로 293,명일로,293,길동54
금호한신휴플러스,1,성동구,금호동3가,서울특별시 성동구 금호산길 27,금호산길,27,금호동3가1662
금호자이2차,1,성동구,금호동3가,서울특별시 성동구 금호산8길 14,금호산8길,14,금호동3가700
당산디오빌,1,영등포구,당산동5가,서울특별시 영등포구 당산로 222,당산로,222,당산동5가11-33
당산롯데캐슬프레스티지 아파트,1,영등포구,당산동4가,서울특별시 영등포구 영신로 237,영신로,237,당산동4가99
당산반도유보라,1,영등포구,당산동4가,서울특별시 영등포구 국회대로 597,국회대로,597,당산동4가96
당산브라운스톤아파트,1,영등포구,당산동4가,서울특별시 영등포구 영신로55길 6,영신로55길,6,당산동4가1-36
