complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
래미안아름숲임대,1,동대문구,전농동,,,,nan
래미안라그란데,1,동대문구,이문동,서울특별시 동대문구 이문로35길 12,이문로35길,12,이문동257-42
래미안 웰스트림,1,마포구,현석동,서울특별시 마포구 토정로 11,토정로,11,합정동376-25
래미안 대치 팰리스,1,강남구,대치동,서울특별시 강남구 삼성로57길 37-3,삼성로57길,1937-03-01 00:00:00,서울강남구삼성로57길37-3
뚝섬중앙하이츠빌,1,성동구,성수동1가,서울특별시 성동구 상원길 47,상원길,47,성수동1가715
디에이치퍼스티어아이파크,1,강남구,개포동,서울특별시 강남구 개포로 310,개포로,310,개포동660-1
디아크리온강남 아파트,1,강남구,자곡동,서울특별시 강남구 자곡로11길 11,자곡로11길,11,자곡동347-5
등촌우성101동,1,강서구,등촌동,서울특별시 강서구 화곡로68길 115,화곡로68길,115,등촌동630-11
등촌서광,1,강서구,등촌동,서울특별시 강서구 공항대로45길 68-6,공항대로45길,1968-06-01 00:00:00,서울강서구공항대로45길68-6
둔촌동동아,1,강동구,둔촌동,서울특별시 강동구 동남로49길 60-5,동남로49길,1960-05-01 00:00:00,서울강동구동남로49길60-5
동익빌라,1,종로구,구기동,서울특별시 종로구 홍지문길 64,홍지문길,64,구기동40
동소문한신휴플러스,1,성북구,동소문동4가,서울특별시 성북구 동소문로13길 47,동소문로13길,47,동소문동7가23
동소문동송산,1,성북구,동소문동4가,서울특별시 성북구 동소문로3길 101,동소문로3길,101,동소문동4가279
돈암동일하이빌,1,성북구,동소문동5가,서울특별시 성북구 보문로38길 11,보문로38길,11,동소문동5가120
마곡삼성,1,강서구,방화동,서울특별시 강서구 방화대로34길 113,방화대로34길,113,마곡동1478
마곡청구아파트,1,강서구,방화동,서울특별시 강서구 양천로26길 103,양천로26길,103,마곡동1181
문래자이아파트,1,영등포구,문래동3가,서울특별시 영등포구 당산로4길 12,당산로4길,12,문래동3가54
마곡푸르지오,1,강서구,방화동,서울특별시 강서구 방화대로34길 88,방화대로34길,88,마곡동1525
문래삼환,1,영등포구,문래동4가,서울특별시 영등포구 도림로143길 30,도림로143길,30,문래동4가43
문래베어스타운,1,영등포구,문래동6가,서울특별시 영등포구 선유서로 40,선유서로,40,문래동6가38-1
문래미원아파트,1,영등포구,문래동6가,서울특별시 영등포구 문래로8길 5,문래로8길,5,문래동6가54
문래두산위브,1,영등포구,문래동5가,서울특별시 영등포구 선유로9나길 8,선유로9나길,8,문래동5가14
문래동모아미래도아파트,1,영등포구,문래동5가,서울특별시 영등포구 선유로9나길 5,선유로9나길,5,문래동5가67
문래대원,1,영등포구,문래동6가,서울특별시 영등포구 문래로4길 26,문래로4길,26,문래동6가47-1
문래대림,1,영등포구,문래동5가,서울특별시 영등포구 선유로 33,선유로,33,문래동5가1
문래남성,1,영등포구,문래동2가,서울특별시 영등포구 경인로77길 21,경인로77길,21,문래동2가35
문래국화,1,영등포구,문래동3가,서울특별시 영등포구 도림로 464,도림로,464,문래동3가76-1
문래공원한신,1,영등포구,문래동3가,서울특별시 영등포구 문래로20길 14,문래로20길,14,문래동3가77-2
문래건영아파트,1,영등포구,문래동3가,서울특별시 영등포구 문래로 94-7,문래로,1994-07-01 00:00:00,서울영등포구문래로94-7
묵동동구햇살,1,중랑구,묵동,서울특별시 중랑구 동일로169길 41,동일로169길,41,묵동388
목동금호타운아파트,1,양천구,목동,서울특별시 양천구 목동중앙남로3길 11,목동중앙남로3길,11,목동768-5
목동2차우성,1,양천구,신정동,서울특별시 양천구 목동남로4길 6-23,목동남로4길,2025-06-23 00:00:00,서울양천구목동남로4길6-23
"명일삼익가든1,2차",1,강동구,명일동,서울특별시 강동구 상암로 224,상암로,224,명일동260-1
명륜아남1차,1,종로구,명륜2가,서울특별시 종로구 창경궁로 265,창경궁로,265,명륜2가4
면목신성미소지움,1,중랑구,면목동,서울특별시 중랑구 용마산로86길 9-27,용마산로86길,2025-09-27 00:00:00,서울중랑구용마산로86길9-27
메이플자이,1,서초구,잠원동,서울특별시 서초구 신반포로 251 메이플자이,신반포로,251,서울서초구신반포로251
메세나폴리스,1,마포구,서교동,서울특별시 마포구 양화로 45,양화로,45,합정동414
마포한화오벨리스크,1,마포구,도화동,서울특별시 마포구 마포대로 33,마포대로,33,도화동160
마곡현대아파트,1,강서구,방화동,서울특별시 강서구 양천로 140,양천로,140,마곡동1171
힐스테이트서초젠트리스,1,서초구,신원동,서울특별시 서초구 헌릉로8길 10-12,헌릉로8길,2025-10-12 00:00:00,서울서초구헌릉로8길10-12
