sido,gugun,dong,deal_ym,aptcode,price_84m2,built_date,households
서울특별시,강남구,개포동,202407,A13599301,279096,1983-10-26,900.0
서울특별시,강남구,개포동,202407,A13599303,296774,1983-10-26,1060.0
서울특별시,강남구,개포동,202407,A13599402,301576,1983-10-26,940.0
서울특별시,강남구,개포동,202408,A10023348,317723,2023-02-28,3375.0
서울특별시,강남구,개포동,202408,A10024564,308161,2020-09-28,2296.0
서울특별시,강남구,개포동,202408,A10025203,339414,2019-08-29,1320.0
서울특별시,강남구,개포동,202408,A10025675,314579,2019-02-26,1957.0
서울특별시,강남구,개포동,202408,A13524004,190768,1984-12-31,405.0
서울특별시,강남구,개포동,202408,A13524005,178550,1984-04-20,416.0
서울특별시,강남구,개포동,202408,A13524006,208733,1986-01-31,558.0
서울특별시,강남구,개포동,202408,A13524009,271171,1992-10-14,1753.0
서울특별시,강남구,개포동,202408,A13580602,189928,1984-03-08,678.0
서울특별시,강남구,개포동,202408,A13594007,235284,1992-10-14,822.0
서울특별시,강남구,개포동,202408,A13599301,295845,1983-10-26,900.0
서울특별시,강남구,개포동,202408,A13599303,300369,1983-10-26,1060.0
서울특별시,강남구,개포동,202408,A13599402,327077,1983-10-26,940.0
서울특별시,강남구,개포동,202409,A10024564,297130,2020-09-28,2296.0
서울특별시,강남구,개포동,202409,A10025675,326327,2019-02-26,1957.0
서울특별시,강남구,개포동,202409,A13524004,202440,1984-12-31,405.0
서울특별시,강남구,개포동,202409,A13524009,260514,1992-10-14,1753.0
서울특별시,강남구,개포동,202409,A13580001,221683,1986-03-31,198.0
서울특별시,강남구,개포동,202409,A13580602,219392,1984-03-08,678.0
서울특별시,강남구,개포동,202409,A13599301,324952,1983-10-26,900.0
서울특별시,강남구,개포동,202409,A13599303,367258,1983-10-26,1060.0
서울특별시,강남구,개포동,202409,A13599402,344520,1983-10-26,940.0
서울특별시,강남구,개포동,202410,A10024564,311264,2020-09-28,2296.0
서울특별시,강남구,개포동,202410,A10025203,348981,2019-08-29,1320.0
서울특별시,강남구,개포동,202410,A10025675,318546,2019-02-26,1957.0
서울특별시,강남구,개포동,202410,A13524004,194790,1984-12-31,405.0
서울특별시,강남구,개포동,202410,A13524009,273050,1992-10-14,1753.0
서울특별시,강남구,개포동,202410,A13594007,241410,1992-10-14,822.0
서울특별시,강남구,개포동,202410,A13599301,324451,1983-10-26,900.0
