complex_name,unmatched_count,gugun,dong,jibun
아크로타워스퀘어,65,영등포구,영등포동7가,203
보문파크뷰자이,65,성북구,보문동6가,458
힐스테이트클래시안,65,영등포구,신길동,4969
당산삼성래미안4차,65,영등포구,당산동5가,42
아크로리버하임,65,동작구,흑석동,341
래미안 리더스원,65,서초구,서초동,1755
삼풍아파트,64,서초구,서초동,1685
관악드림(삼성),64,관악구,봉천동,1712
마곡13단지힐스테이트마스터,64,강서구,마곡동,748
삼익세라믹,64,도봉구,쌍문동,56
대림강변타운,64,성동구,응봉동,15
(72-31),64,서대문구,창천동,72-31
양평한신,63,영등포구,양평동5가,76
중계무지개,63,노원구,중계동,512
은마,63,강남구,대치동,316
벽산라이브파크,63,강북구,미아동,1354
프라이어팰리스,63,강동구,암사동,413
우성2,62,영등포구,신길동,4518
금천롯데캐슬골드파크3차,62,금천구,독산동,1155
우성1,62,영등포구,신길동,365
가양6단지,62,강서구,가양동,1485
아남1,61,종로구,명륜2가,4
성내동삼성아파트,61,강동구,성내동,590
신도림태영타운,61,구로구,구로동,1267
대림1,61,구로구,신도림동,642
꿈의숲아이파크,61,성북구,장위동,323
월계센트럴아이파크,60,노원구,월계동,951
올림픽선수기자촌1단지,60,송파구,방이동,89
동아청솔,60,도봉구,창동,808
학여울청구,60,노원구,하계동,354
천연뜨란채,60,서대문구,천연동,145
DMC래미안클라시스,59,서대문구,남가좌동,377
방화5,59,강서구,방화동,814
래미안강동팰리스,59,강동구,천호동,571
서울숲푸르지오,59,성동구,금호동4가,340
당산현대5차,59,영등포구,당산동4가,30-1
상계주공14(고층),59,노원구,상계동,626
브라이튼여의도,59,영등포구,여의도동,525
목동신시가지9,59,양천구,신정동,312
가양2단지(성지),58,강서구,가양동,1461
신트리1,58,양천구,신정동,1259
상도역롯데캐슬파크엘,58,동작구,상도동,904
래미안포레카운티,58,성북구,장위동,322
서울숲2차푸르지오,58,성동구,금호동4가,235
서울숲리버뷰자이,57,성동구,행당동,380
래미안하이리버,57,성동구,금호동2가,1217
마포래미안푸르지오2단지,57,마포구,아현동,777
상계주공4(고층),57,노원구,상계동,749-5
래미안크리시엘,57,성북구,종암동,80
장안현대홈타운(336),57,동대문구,장안동,336
동아3,56,구로구,신도림동,645
봉천동아,56,관악구,봉천동,1703
목동힐스테이트,56,양천구,신정동,1323
상계주공6(고층),56,노원구,상계동,720
대치푸르지오발라드,56,강남구,개포동,176-2
삼각산아이원,56,강북구,미아동,1357
현대프라임,56,광진구,구의동,631-1
문정시영,55,송파구,문정동,145
반포리체,55,서초구,반포동,30-26
한양2,55,도봉구,쌍문동,59
대림2,55,구로구,신도림동,642
역삼래미안,55,강남구,역삼동,757
동아그린,55,용산구,이촌동,411
문정래미안,55,송파구,문정동,1
우성아파트,55,송파구,잠실동,101-1
보라매자이더포레스트,55,동작구,신대방동,724
래미안아트리치,55,성북구,석관동,410
래미안목동아델리체(101동~118동),55,양천구,신정동,1326
경희궁자이(2단지),55,종로구,홍파동,199
신내6대주,54,중랑구,신내동,650
트리마제,54,성동구,성수동1가,718
DMC에코자이,54,서대문구,남가좌동,389
상계주공11(고층),54,노원구,상계동,652
상계주공12(고층),53,노원구,상계동,647
e편한세상신촌1단지,53,서대문구,북아현동,1013
신길센트럴자이아파트,53,영등포구,신길동,4964
올림픽선수기자촌3단지,53,송파구,방이동,89
현대파크빌,53,광진구,광장동,577
신촌푸르지오,53,서대문구,북아현동,1011
마포자이더센트리지(102동~112동),53,마포구,염리동,533
이수브라운스톤돈암,53,성북구,돈암동,636
서울숲 한신 더 휴,52,성동구,행당동,349
e편한세상송파파크센트럴,52,송파구,거여동,696
남가좌동현대,52,서대문구,남가좌동,376
힐스테이트청계,52,동대문구,답십리동,1009
목동신시가지2,52,양천구,목동,902
목동신시가지5,52,양천구,목동,912
DMC롯데캐슬더퍼스트,52,은평구,수색동,417
신동아아파트1,51,도봉구,방학동,271-1
양평현대6차,51,영등포구,양평동3가,101
목동청구한신아파트,51,양천구,목동,929
등촌동아이파크,51,강서구,등촌동,715
래미안 개포 루체하임,51,강남구,일원동,741
서원,51,도봉구,도봉동,641
두산위브,50,동대문구,답십리동,998
금천롯데캐슬골드파크1차,50,금천구,독산동,1147
반포미도,50,서초구,반포동,60-4
왕십리KCC스위첸,50,성동구,하왕십리동,1002
길음뉴타운1단지(래미안길음1차),50,성북구,길음동,1279
래미안파크팰리스,50,송파구,가락동,165
DMC파크뷰자이2단지,50,서대문구,남가좌동,385
주공1단지,50,강북구,번동,242
래미안로이파크,50,동작구,사당동,1159
상아2차아파트,50,도봉구,창동,300
목동센트럴아이파크위브3단지,50,양천구,신월동,1077
한강현대,49,강동구,암사동,442-1
노원센트럴푸르지오,49,노원구,상계동,1355
아이파크,49,양천구,신정동,1296
목동신시가지12,49,양천구,신정동,326
신내9진흥,49,중랑구,신내동,657
왕십리자이,49,성동구,하왕십리동,1071
힐스테이트녹번역,49,은평구,응암동,770
우방,49,금천구,시흥동,1011
래미안미드카운티,49,동대문구,답십리동,1013
현대2차,48,영등포구,양평동3가,79-4
래미안 허브리츠,48,동대문구,용두동,792
흑석한강푸르지오,48,동작구,흑석동,336
대림아파트,48,동작구,대방동,501
한진,48,구로구,개봉동,478
도화동현대,48,마포구,도화동,357
텐즈힐(2단지),48,성동구,상왕십리동,811
래미안월곡,48,성북구,하월곡동,225
독립문극동(200-0),47,서대문구,현저동,200
북한산현대힐스테이트3차아파트,47,은평구,불광동,641
신동아파밀리에,47,동작구,신대방동,717
서초그랑자이,47,서초구,서초동,1757
디에이치아너힐즈,47,강남구,개포동,1281
포레나노원,47,노원구,상계동,680
상계주공3(고층),47,노원구,상계동,730-2
은빛2단지,47,노원구,상계동,1256
삼선푸르지오,47,성북구,삼선동2가,425
풍림아파트A,46,노원구,공릉동,725
삼호3,46,노원구,월계동,13
강남데시앙포레,46,강남구,수서동,795
백련산힐스테이트1차,46,은평구,응암동,759
상계주공1(고층),46,노원구,상계동,765
명일지에스아파트,46,강동구,명일동,332
가양도시개발9-2단지,46,강서구,가양동,1490
가락금호아파트,46,송파구,가락동,95-1
e편한세상상도노빌리티,45,동작구,상도동,903
래미안대치팰리스,45,강남구,대치동,1027
금천현대,45,금천구,독산동,711-2
장미2,45,송파구,신천동,11
홍은동벽산,45,서대문구,홍은동,455
당산센트럴아이파크,45,영등포구,당산동5가,43
북한산아이파크5차,45,도봉구,창동,825
종암에스케이,45,성북구,종암동,104-1
힐스테이트 상도 프레스티지,45,동작구,상도동,533
신반포2,44,서초구,잠원동,73
e편한세상서울대입구1단지,44,관악구,봉천동,1730
홍제원현대(459-0),44,서대문구,홍제동,459
더샵스타시티,43,광진구,자양동,227-7
신반포4,43,서초구,잠원동,70
래미안공덕5차,43,마포구,공덕동,469
신동아아파트(1차),43,서초구,서초동,1333
래미안영등포프레비뉴,43,영등포구,신길동,4945
송파파인타운3단지,43,송파구,장지동,849
래미안상도3차,43,동작구,상도동,431
삼익파크맨션,43,강동구,길동,53
신내,43,중랑구,묵동,13
시범,43,영등포구,여의도동,50
청구e편한세상,42,중구,신당동,852
청계한신휴플러스,42,동대문구,답십리동,1002
신트리4,42,양천구,신정동,1277
면목한신,42,중랑구,면목동,193-1
길동우성,42,강동구,길동,400
금호베스트빌,42,성동구,하왕십리동,1052
구의현대2단지,42,광진구,구의동,611
백련산해모로,42,은평구,응암동,768
